Matricule,Age,Qualification,Secteur d'activité,Objectif,Diplome,Genre,niveau_etude,qualification_metier,secteur_metier,Filière / Spécialité,Secteur demandé,Métier visé / Qualification visée,Mobilité géographique,mobilite_norm,text_profile
PPPNR2503260023947,31,agent qhse,"Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets",Emploi,Pas de diplôme,Homme,Bac +3,Technicien QHSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Aucune,Industrie,Agent QHSE,Non,non,Agent QHSE Technicien QHSE Aucune Industrie Emploi agent qhse Pas de diplôme Bac +3
PPBZV2501020015624,36,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac D,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Bac D Emploi manœuvre Baccalauréat Général Bac
PPBZV2501020015625,37,chef de vente,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Licence,Homme,Bac +3,Management Commercial,"Commerce, Vente, Marketing & Distribution",Economie,Non déclaré,chef de vente,Non déclaré,non déclaré,chef de vente Management Commercial Economie Emploi chef de vente Licence Bac +3
PPBZV2501020015628,32,comptable fiscaliste,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,Licence,Femme,Bac +3,Expert-Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Gestion comptable et financière,Non déclaré,Comptable fiscaliste,Non déclaré,non déclaré,Comptable fiscaliste Expert-Comptable Gestion comptable et financière Emploi comptable fiscaliste Licence Bac +3
PPBZV2501020015629,43,spécialiste lubrufiant,Transit - Transport et Logistique - Génie Logistique,Emploi,Baccalauréat Général,Homme,Bac,Specialiste Lubrifiants,"Industrie, Production & Maintenance",Bac A,Non déclaré,spécialiste lubrufiant,Non déclaré,non déclaré,spécialiste lubrufiant Specialiste Lubrifiants Bac A Emploi spécialiste lubrufiant Baccalauréat Général Bac
PPBZV2501020015631,27,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence,Homme,Bac +3,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Électrotechnique,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Électrotechnique Emploi pompiste Licence Bac +3
PPPNR2501060016091,30,électricien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Électricien,"Énergie, Environnement & Eau",Aucune,Non déclaré,Électricien,Non déclaré,non déclaré,Électricien Électricien Aucune Emploi électricien Pas de diplôme Post-secondaire – Professionnel
PPBZV2501020015633,27,opératrice de caisse,Finance,Emploi,Licence,Femme,Bac +3,Agent de caisse,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Ressources humaines,Non déclaré,Opératrice de caisse,Non déclaré,non déclaré,Opératrice de caisse Agent de caisse Ressources humaines Emploi opératrice de caisse Licence Bac +3
PPBZV2501020015636,32,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence,Femme,Bac +3,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Economie internationale,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Economie internationale Emploi pompiste Licence Bac +3
PPBZV2501020015638,22,gestion des ressources humaines,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Licence,Femme,Bac +3,Gestionnaire de Ressources Humaines,"Conseil, Stratégie & Gestion des Ressources Humaines",Ressources humaines,Non déclaré,Gestion des ressources humaines,Non déclaré,non déclaré,Gestion des ressources humaines Gestionnaire de Ressources Humaines Ressources humaines Emploi gestion des ressources humaines Licence Bac +3
PPBZV2501020015639,22,enseignant(e),Divers,Emploi,Baccalauréat Général,Femme,Bac,Enseignant,"Éducation, Formation & Enseignement",Bac D,Non déclaré,Enseignant(e),Non déclaré,non déclaré,Enseignant(e) Enseignant Bac D Emploi enseignant(e) Baccalauréat Général Bac
PPBZV2501020015642,25,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence Professionnelle,Homme,Bac +3,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Gestion d'environnement,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Gestion d'environnement Emploi manœuvre Licence Professionnelle Bac +3
PPBZV2501020015644,32,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Professionnel,Homme,Bac,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Agroéconomie,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Agroéconomie Emploi pompiste Baccalauréat Professionnel Bac
PPBZV2501020015645,21,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Professionnel,Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Génie civil,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Génie civil Emploi manœuvre Baccalauréat Professionnel Bac
PPBZV2501020015646,21,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Maçonnerie,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Maçonnerie Emploi manœuvre Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPSAN2501100016694,32,economiste,Finance,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Économiste,Divers,Aucune,Non déclaré,Economiste,Non déclaré,non déclaré,Economiste Économiste Aucune Emploi economiste Pas de diplôme Bac +4/+5 et plus
PPBZV2501020015658,29,comptabilité,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,Baccalauréat,Femme,Bac,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Comptabilité,Non déclaré,Comptabilité,Non déclaré,non déclaré,Comptabilité Comptable Comptabilité Emploi comptabilité Baccalauréat Bac
PPBZV2501020015659,24,gestionnaire des ressources humaines,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Bac +2,Femme,Post-secondaire – Professionnel,Gestionnaire de Ressources Humaines,"Conseil, Stratégie & Gestion des Ressources Humaines",Gestion des Ressources Humaines,Non déclaré,Gestionnaire des ressources humaines,Non déclaré,non déclaré,Gestionnaire des ressources humaines Gestionnaire de Ressources Humaines Gestion des Ressources Humaines Emploi gestionnaire des ressources humaines Bac +2 Post-secondaire – Professionnel
PPBZV2501020015662,29,agent logistique,Transit - Transport et Logistique - Génie Logistique,Emploi,Licence,Femme,Bac +3,Agent Logistique,"Transport, Logistique & Supply Chain",Transport et logistique,Logistique et Distribution,Agent Logistique,Non,non,Agent Logistique Agent Logistique Transport et logistique Logistique et Distribution Emploi agent logistique Licence Bac +3
PPBZV2501020015663,33,agent de transit,Transit - Transport et Logistique - Génie Logistique,Emploi,Bac +2,Homme,Post-secondaire – Professionnel,Agent Logistique,"Transport, Logistique & Supply Chain",Commerce International,Non déclaré,Agent de transit,Non déclaré,non déclaré,Agent de transit Agent Logistique Commerce International Emploi agent de transit Bac +2 Post-secondaire – Professionnel
PPPNR2501150017266,32,technicien en génie civil,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Technicien en Génie Civil,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Technicien en génie civil,Non,non,Technicien en génie civil Technicien en Génie Civil Aucune Génie Civil - Construction - Bâtiment et Travaux - Architecture Emploi technicien en génie civil Pas de diplôme Bac +4/+5 et plus
PPBZV2501030015665,28,comptabilité et gestion financière,Finance,Emploi,Licence,Femme,Bac +3,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Comptabilité,Non déclaré,Comptabilité et Gestion Financière,Non déclaré,non déclaré,Comptabilité et Gestion Financière Comptable Comptabilité Emploi comptabilité et gestion financière Licence Bac +3
PPBZV2501030015667,31,agent de guichet,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,Bac +2,Femme,Post-secondaire – Professionnel,Agent d'Accueil,Hôtellerie-Restauration,Comptabilité,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Agent de Guichet,Non,non,Agent de Guichet Agent d'Accueil Comptabilité Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable Emploi agent de guichet Bac +2 Post-secondaire – Professionnel
PPBZV2501030015672,34,acheteur senior service et matériel forage/logistique,Support aux activités de forage - Forage pétrolier et gazier - Forage d’eau - Forage géotechnique et environnemental,Emploi,Licence Professionnelle,Femme,Bac +3,Acheteur Sénior (Logistique Industrielle),"Transport, Logistique & Supply Chain",Economie,Non déclaré,Acheteur Senior Service et Matériel Forage/Logistique,Non déclaré,non déclaré,Acheteur Senior Service et Matériel Forage/Logistique Acheteur Sénior (Logistique Industrielle) Economie Emploi acheteur senior service et matériel forage/logistique Licence Professionnelle Bac +3
PPBZV2501030015677,23,etudiante,Divers,Stage,Bac +2,Femme,Post-secondaire – Professionnel,Etudiant,Parcours Étudiant et Formation,Economie d'entreprise,Non déclaré,Etudiante,Non déclaré,non déclaré,Etudiante Etudiant Economie d'entreprise Stage etudiante Bac +2 Post-secondaire – Professionnel
PPBZV2501110016726,30,agent de banque,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,Pas de diplôme,Homme,Bac +3,Conseiller Bancaire,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Aucune,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Agent de banque,Non,non,Agent de banque Conseiller Bancaire Aucune Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable Emploi agent de banque Pas de diplôme Bac +3
PPBZV2501220017927,25,comptabilité et gestion financière,Finance,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Aucune,Non déclaré,Comptabilité et Gestion Financière,Non déclaré,non déclaré,Comptabilité et Gestion Financière Comptable Aucune Emploi comptabilité et gestion financière Pas de diplôme Bac +4/+5 et plus
PPBZV2501030015684,26,opérateur de production,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Opérateur de production,"Industrie, Production & Maintenance",Bac D,Non déclaré,Opérateur de production,Non déclaré,non déclaré,Opérateur de production Opérateur de production Bac D Emploi opérateur de production Baccalauréat Général Bac
PPBZV2501030015688,23,chargée de relation client,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,BAC Technique,Femme,Bac,Chargé de Relation Client,"Commerce, Vente, Marketing & Distribution",Gestion Commerciale,Non déclaré,Chargée de relation client,Non déclaré,non déclaré,Chargée de relation client Chargé de Relation Client Gestion Commerciale Emploi chargée de relation client BAC Technique Bac
PPBZV2501030015689,29,etudiante,Divers,Emploi,Licence,Femme,Bac +3,Etudiant,Parcours Étudiant et Formation,Banque et Finance,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Etudiante,Non,non,Etudiante Etudiant Banque et Finance Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim Emploi etudiante Licence Bac +3
PPBZV2501030015697,41,maintenance industrielle,Énergie Renouvelable - Solaire - Éolien - Biomasse - Hydroélectrique - Électricité - Énergie,Emploi,Baccalauréat Professionnel,Homme,Bac,Technicien Maintenance Industrielle,"Industrie, Production & Maintenance",Bac F3,Non déclaré,maintenance industrielle,Non déclaré,non déclaré,maintenance industrielle Technicien Maintenance Industrielle Bac F3 Emploi maintenance industrielle Baccalauréat Professionnel Bac
PPBZV2501280018722,22,aide comptable,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,Pas de diplôme,Femme,Bac +4/+5 et plus,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Aucune,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Aide Comptable,Non,non,Aide Comptable Comptable Aucune Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable Emploi aide comptable Pas de diplôme Bac +4/+5 et plus
PPBZV2501030015700,31,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Aucune,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Aucune Emploi pompiste Baccalauréat Général Bac
PPBZV2501030015705,32,juriste,Droit et Justice,Emploi,Licence,Femme,Bac +3,Juriste,Droit et Justice,Droit privé,Non déclaré,Juriste,Non déclaré,non déclaré,Juriste Juriste Droit privé Emploi juriste Licence Bac +3
PPBZV2501030015707,28,opérateur de production,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Opérateur de production,"Industrie, Production & Maintenance",Maintenance industrielle,Non déclaré,Opérateur de production,Non déclaré,non déclaré,Opérateur de production Opérateur de production Maintenance industrielle Emploi opérateur de production Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2501030015709,43,mécanicien automobile,Commerce et distribution automobile - Service automobiles - Concessionnaires - Garages,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Homme,Primaire,Mecanicien Automobile,"Industrie, Production & Maintenance",Électrotechnique,Non déclaré,Mécanicien automobile,Non déclaré,non déclaré,Mécanicien automobile Mecanicien Automobile Électrotechnique Emploi mécanicien automobile Certificat d'Études Primaires Élémentaires (CEPE) Primaire
PPBZV2501030015712,37,comptable,Finance,Emploi,Licence,Femme,Bac +3,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Economie,Non déclaré,Comptable,Non déclaré,non déclaré,Comptable Comptable Economie Emploi comptable Licence Bac +3
PPBZV2501030015714,26,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Femme,Bac,Commercial,"Commerce, Vente, Marketing & Distribution",Bac A,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Bac A Emploi agent commercial Baccalauréat Général Bac
PPBZV2501030015721,40,chauffeur polyvalent,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Chauffeur Polyvalent,"Transport, Logistique & Supply Chain",Transport Routier,Non déclaré,chauffeur polyvalent,Non déclaré,non déclaré,chauffeur polyvalent Chauffeur Polyvalent Transport Routier Emploi chauffeur polyvalent Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
